mes año,dia hora,Consumo,General pozos,Pozo 3,Pozo 8,Pozo 15,Pozo 4,A y D,"Campus 8""",A7-CC,Megacentral,Planta Física,Residencias,Pozo7,Pozo11,Pozo 12,Pozo 14
ago 2022,Dom21 09:00,840,"72,730","226,164","510,627.70","335,251.90",0,0,"5,145","755,396.40","7,844","8,319","38,098",0,0,0,0
ago 2022,Lun22 09:00,830,"72,813","226,164","510,757.80","335,251.90",0,0,"5,165","755,481.20","8,132","8,338","38,115",0,0,0,0
ago 2022,mar23 9:00,"1,180","72,931","226,164","510,757.80","335,251.90",0,0,"5,206","755,612.14","8,492","8,371","38,130",0,0,0,0
ago 2022,Mie24 09:00,"1,170","73,048","226,164","510,757.80","335,251.90",0,0,"5,251","755,735.41","8,883","8,414","38,146",0,0,0,0
ago 2022,Jue25 09:00,"1,270","73,175","226,164","510,757.80","335,251.90",0,0,"5,294","755,857.80","9,171","8,453","38,160",0,0,0,0
ago 2022,Vie26 09:00,"1,020","73,277","226,164","510,757.80","335,251.90",0,0,"5,337","755,998.90","9,481","8,496","38,173",0,0,0,0
ago 2022,Sab27 09:00,"1,000","73,377","226,164","510,757.80","335,251.90",0,0,"5,372","756,144.98","9,718","8,528","38,185",0,0,0,0
ago 2022,Dom28 09:00,770,"73,454","226,164","510,757.80","335,251.90",0,0,"5,395","756,249.63","9,926","8,552","38,197",0,0,0,0
ago 2022,Lun29 09:00,680,"73,522","226,164","510,757.80","335,251.90",0,0,"5,407","756,332.70","10,174","8,570","38,210",0,0,0,0
ago 2022,mar30 9:00,"1,170","73,639","226,164","510,757.80","335,251.90",0,0,"5,448","756,448.10","10,475","8,601","38,226",0,0,0,0
ago 2022,Mie31 09:00,"1,046","73,743","226,170","510,757.80","335,251.90",0,0,"5,493","756,579.93","10,784","8,642","38,243",0,0,0,0
Sept 2022,Jue01 09:00,"1,044","73,847","226,174","510,757.80","335,251.90",0,0,"5,532","756,672.21","11,021","8,679","38,254",0,0,0,0
Sept 2022,Vie02 09:00,"1,090","73,956","226,174","510,757.80","335,251.90",0,0,"5,575","756,786.45","11,299","8,721","38,271",0,0,0,0
Sept 2022,Sab03 09:00,950,"74,051","226,174","510,757.80","335,251.90",0,0,"5,614","756,899.50","11,555","8,765","38,284",0,0,0,0
Sept 2022,Dom04 09:00,710,"74,122","226,174","510,757.80","335,251.90",0,0,"5,632","756,988.40","11,732","8,792","38,298",0,0,0,0
Sept 2022,Lun05 09:00,650,"74,187","226,174","510,757.80","335,251.90",0,0,"5,645","757,078.80","11,869","8,811","38,310",0,0,0,0
Sept 2022,mar06 9:00,610,"74,248","226,174","510,757.80","335,251.90",0,0,"5,661","757,109.97","12,075","8,829","38,324",0,0,0,0
Sept 2022,Mie07 09:00,730,"74,321","226,174","510,757.80","335,251.90",0,0,"5,692","757,151.74","12,309","8,863","38,337",0,0,0,0
Sept 2022,Jue08 09:00,920,"74,413","226,174","510,757.80","335,251.90",0,0,"5,730","757,241.17","12,522","8,893","38,350",0,0,0,0
Sept 2022,Vie09 09:00,"1,020","74,515","226,174","510,757.80","335,251.90",0,0,"5,777","757,368.67","12,756","8,922","38,363",0,0,0,0
Sept 2022,Sab10 09:00,"1,070","74,622","226,174","510,757.80","335,251.90",0,0,"5,818","757,498.10","13,014","8,950","38,378",0,0,0,0
Sept 2022,Dom11 09:00,780,"74,700","226,174","510,757.80","335,251.90",0,0,"5,826","757,681.45","13,253","8,970","38,392",0,0,0,0
Sept 2022,Lun12 09:00,800,"74,780","226,174","510,757.80","335,251.90",0,0,"5,834","757,880.40","13,508","8,993","38,402",0,0,0,0
Sept 2022,mar13 9:00,940,"74,874","226,174","510,757.80","335,251.90",0,0,"5,865","757,995.03","13,810","9,006","38,420",0,0,0,0
Sept 2022,Mie14 09:00,"1,070","74,981","226,174","510,757.80","335,251.90",0,0,"5,900","758,108.09","14,100","9,036","38,433",0,0,0,0
Sept 2022,Jue15 09:00,970,"75,078","226,174","510,757.80","335,251.90",0,0,"5,948","758,167.57","14,359","9,068","38,446",0,0,0,0
Sept 2022,Vie16 09:00,890,"75,167","226,174","510,757.80","335,251.90",0,0,"5,982","758,246.96","14,570","9,099","38,457",0,0,0,0
Sept 2022,Sab17 09:00,380,"75,205","226,174","510,757.80","335,251.90",0,0,"5,995","758,298.91","14,624","9,112","38,465",0,0,0,0
Sept 2022,Dom18 09:00,510,"75,256","226,174","510,757.80","335,251.90",0,0,"6,002","758,352.56","14,783","9,125","38,478",0,0,0,0
Sept 2022,Lun19 09:00,450,"75,301","226,174","510,757.80","335,251.90",0,0,"6,010","758,398.88","14,916","9,147","38,489",0,0,0,0
Sept 2022,mar20 9:00,"1,118","75,412","226,182","510,757.80","335,251.90",0,0,"6,047","758,481.83","15,218","9,189","38,504",0,0,0,0
Sept 2022,Mie21 09:00,"1,190","75,531","226,182","510,781.50","335,251.90",0,0,"6,094","758,594.37","15,533","9,229","38,523",0,0,0,0
Sept 2022,Jue22 09:00,"1,123","75,643","226,185","510,781.50","335,251.90",0,0,"6,134","758,707.35","15,849","9,264","38,539",0,0,0,0
Sept 2022,Vie23 09:00,"1,580","75,801","226,185","510,781.50","335,251.90",0,0,"6,181","758,824.15","16,149","9,300","38,555",0,0,0,0
Sept 2022,Sab24 09:00,870,"75,888","226,185","510,781.50","335,251.90",0,0,"6,223","758,933.82","16,452","9,374","38,569",0,0,0,0
Sept 2022,Dom25 09:00,760,"75,964","226,185","510,781.50","335,251.90",0,0,"6,240","759,009.11","16,693","9,409","38,585",0,0,0,0
Sept 2022,Lun26 09:00,710,"76,035","226,185","510,781.50","335,251.90",0,0,"6,253","759,077.15","16,960","9,423","38,600",0,0,0,0
Sept 2022,mar27 9:00,"1,230","76,158","226,185","510,781.50","335,251.90",0,0,"6,296","759,212.35","17,161","9,432","38,616",0,0,0,0
Sept 2022,Mie28 09:00,"1,150","76,273","226,185","510,781.50","335,251.90",0,0,"6,346","759,381.25","17,346","9,459","38,632",0,0,0,0
Sept 2022,Jue29 09:00,920,"76,365","226,185","510,781.50","335,251.90",0,0,"6,382","759,554.25","17,476","9,486","38,645",0,0,0,0
Sept 2022,Vie30 09:00,"1,090","76,474","226,185","510,781.50","335,251.90",0,0,"6,429","759,714.70","17,676","9,513","38,662",0,0,0,0
octubre 2022,Sab01 09:00,"1,010","76,575","226,185","510,781.50","335,251.90",0,0,"6,466","759,852.77","17,905","9,555","38,675",0,0,0,0
octubre 2022,Dom02 09:00,750,"76,650","226,185","510,781.50","335,251.90",0,0,"6,485","759,946.25","18,026","9,579","38,694",0,0,0,0
octubre 2022,Lun03 09:00,640,"76,714","226,185","510,781.50","335,251.90",0,0,"6,503","760,026.97","18,140","9,591","38,709",0,0,0,0
octubre 2022,mar04 9:00,930,"76,807","226,185","510,781.50","335,251.90",0,0,"6,544","760,144.51","18,342","9,608","38,723",0,0,0,0
octubre 2022,Mie05 09:00,900,"76,897","226,185","510,801.00","335,251.90",0,0,"6,582","760,226.50","18,480","9,671","38,740",0,0,0,0
octubre 2022,Jue06 09:00,870,"76,984","226,185","510,801.00","335,251.90",0,0,"6,619","760,295.67","18,612","9,697","38,756",0,0,0,0
octubre 2022,Vie07 09:00,866,"77,067","226,221","510,801.00","335,251.90",0,0,"6,657","760,417.72","18,739","9,723","38,768",0,0,0,0
octubre 2022,Sab08 09:00,900,"77,157","226,221","510,801.00","335,251.90",0,0,"6,690","760,565.66","18,863","9,776","38,784",0,0,0,0
octubre 2022,Dom09 09:00,570,"77,214","226,221","510,801.00","335,251.90",0,0,"6,705","760,634.88","18,966","9,807","38,797",0,0,0,0
octubre 2022,Lun10 09:00,530,"77,267","226,221","510,801.00","335,251.90",0,0,"6,718","760,684.92","19,072","9,822","38,812",0,0,0,0
octubre 2022,mar11 9:00,900,"77,357","226,221","510,801.00","335,251.90",0,0,"6,756","760,789.17","19,229","9,836","38,829",0,0,0,0
octubre 2022,Mie12 09:00,870,"77,444","226,221","510,801.00","335,251.90",0,0,"6,790","760,878.88","19,366","9,855","38,847",0,0,0,0
octubre 2022,Jue13 09:00,910,"77,535","226,221","510,801.00","335,251.90",0,0,"6,827","760,968.15","19,538","9,881","38,863",0,0,0,0
octubre 2022,Vie14 09:00,970,"77,632","226,221","510,801.00","335,251.90",0,0,"6,874","761,081.25","19,723","9,908","38,876",0,0,0,0
octubre 2022,Sab15 09:00,990,"77,731","226,221","510,801.00","335,251.90",0,0,"6,911","761,198.52","19,911","9,949","38,895",0,0,0,0
octubre 2022,Dom16 09:00,620,"77,793","226,221","510,801.00","335,251.90",0,0,"6,926","761,277.35","20,053","9,971","38,908",0,0,0,0
octubre 2022,Lun17 09:00,680,"77,861","226,221","510,801.00","335,251.90",0,0,"6,939","761,343.78","20,273","9,984","38,922",0,0,0,0
octubre 2022,mar18 9:00,940,"77,955","226,221","510,801.00","335,251.90",0,0,"6,976","761,456.49","20,502","10,002","38,934",0,0,0,0
octubre 2022,Mie19 09:00,850,"78,040","226,221","510,823.30","335,251.90",0,0,"7,012","761,565.20","20,652","10,022","38,941",0,0,0,0
octubre 2022,Jue20 09:00,850,"78,125","226,221","510,823.30","335,251.90",0,0,"7,041","761,652.52","20,800","10,044","38,965",0,0,0,0
octubre 2022,Vie21 09:00,690,"78,194","226,221","510,823.30","335,251.90",0,0,"7,074","761,727.74","20,904","10,063","38,978",0,0,0,0
octubre 2022,Sab22 09:00,750,"78,269","226,221","510,823.30","335,251.90",0,0,"7,104","761,803.85","21,029","10,085","38,992",0,0,0,0
octubre 2022,Dom23 09:00,590,"78,328","226,221","510,823.30","335,251.90",0,0,"7,122","761,859.27","21,133","10,103","39,007",0,0,0,0
